=== RIG ===
f_index.02.R|world=(0.19985, 2.62782, -6.54573)|rot=(331.505, 154.893, 184.976)|view=(0.68344, 0.26798, 0.45427)
f_index.03.R|world=(0.20283, 2.60665, -6.55703)|rot=(283.465, 354.159, 342.077)|view=(0.69092, 0.22665, 0.44297)
f_index.03.R_end|world=(0.21332, 2.61246, -6.58033)|rot=(283.465, 354.159, 342.077)|view=(0.71195, 0.22172, 0.41967)
thumb.01.R|world=(0.23337, 2.57832, -6.62533)|rot=(15.639, 15.367, 63.802)|view=(0.75972, 0.12077, 0.37467)
thumb.02.R|world=(0.19549, 2.59764, -6.60931)|rot=(25.321, 51.527, 61.441)|view=(0.70864, 0.17297, 0.39069)
thumb.03.R|world=(0.18141, 2.61338, -6.57962)|rot=(31.381, 116.548, 85.785)|view=(0.67994, 0.22383, 0.42038)
thumb.03.R_end|world=(0.19914, 2.61570, -6.54731)|rot=(31.381, 116.548, 85.785)|view=(0.68342, 0.24734, 0.45269)
palm.02.R|world=(0.26307, 2.59476, -6.62057)|rot=(44.072, 318.986, 347.737)|view=(0.78910, 0.15763, 0.37943)
f_middle.01.R|world=(0.24265, 2.64492, -6.57396)|rot=(62.060, 164.934, 190.713)|view=(0.73748, 0.28237, 0.42604)
f_middle.02.R|world=(0.22007, 2.61926, -6.52994)|rot=(321.342, 149.152, 198.029)|view=(0.69521, 0.26229, 0.47006)
f_middle.03.R|world=(0.22125, 2.59663, -6.55031)|rot=(298.359, 7.462, 330.462)|view=(0.70515, 0.21422, 0.44969)
f_middle.03.R_end|world=(0.23226, 2.60832, -6.57359)|rot=(298.359, 7.462, 330.462)|view=(0.72712, 0.21893, 0.42641)
palm.03.R|world=(0.27711, 2.58920, -6.61297)|rot=(314.892, 135.541, 24.322)|view=(0.79855, 0.15371, 0.38703)
f_ring.01.R|world=(0.26578, 2.63529, -6.55928)|rot=(57.854, 180.782, 204.962)|view=(0.75146, 0.27341, 0.44072)
f_ring.02.R|world=(0.24467, 2.61054, -6.51962)|rot=(330.263, 149.737, 209.508)|view=(0.71237, 0.25394, 0.48038)
f_ring.03.R|world=(0.23793, 2.58604, -6.53975)|rot=(302.289, 29.873, 314.478)|view=(0.71556, 0.20372, 0.46025)
f_ring.03.R_end|world=(0.24580, 2.59514, -6.56087)|rot=(302.289, 29.873, 314.478)|view=(0.73340, 0.20483, 0.43913)
palm.04.R|world=(0.28846, 2.58198, -6.60407)|rot=(41.786, 306.874, 321.696)|view=(0.80379, 0.14799, 0.39593)
f_pinky.01.R|world=(0.28539, 2.62067, -6.55054)|rot=(43.601, 183.472, 212.366)|view=(0.76476, 0.25371, 0.44946)
f_pinky.02.R|world=(0.26345, 2.59378, -6.52355)|rot=(337.122, 154.321, 219.275)|view=(0.73057, 0.22583, 0.47645)
f_pinky.03.R|world=(0.25351, 2.57766, -6.53588)|rot=(307.694, 66.136, 280.105)|view=(0.72775, 0.19280, 0.46412)
f_pinky.03.R_end|world=(0.25965, 2.58009, -6.55753)|rot=(307.694, 66.136, 280.105)|view=(0.74468, 0.18184, 0.44247)
=== PSX_RIGHT ===
RightHand_Mesh|world=(-0.15921, 1.02732, -6.38895)|rot=(336.991, 348.228, 357.356)|view=(0.39136, -1.61411, 0.61105)
handIK.L|world=(-0.33429, 2.57253, -6.78654)|rot=(335.332, 113.181, 71.770)|view=(-0.15299, -0.18573, 0.21347)
handIK.L_end|world=(-0.30498, 2.60536, -6.67979)|rot=(335.332, 113.181, 71.770)|view=(0.10286, 0.11885, 0.32021)
handIK.R|world=(0.27796, 2.56262, -6.64516)|rot=(345.948, 236.945, 306.794)|view=(0.82663, 0.06677, 0.35484)
handIK.R_end|world=(0.24160, 2.62970, -6.55851)|rot=(345.948, 236.945, 306.794)|view=(0.72818, 0.26444, 0.44149)
hand.L|world=(-0.33429, 2.57363, -6.78690)|rot=(335.483, 113.240, 71.548)|view=(-0.15410, -0.18309, 0.21310)
palm.01.L|world=(-0.30408, 2.59952, -6.76115)|rot=(61.289, 47.116, 22.518)|view=(-0.03085, -0.02910, 0.23885)
f_index.01.L|world=(-0.28024, 2.63129, -6.70159)|rot=(68.436, 157.980, 129.786)|view=(0.10842, 0.15544, 0.29841)
f_index.02.L|world=(-0.25585, 2.61957, -6.65973)|rot=(55.066, 185.039, 155.205)|view=(0.18648, 0.17228, 0.34027)
f_index.03.L|world=(-0.24417, 2.60700, -6.64270)|rot=(36.611, 195.431, 163.337)|view=(0.21505, 0.16183, 0.35730)
f_index.03.L_end|world=(-0.23294, 2.58685, -6.63026)|rot=(36.611, 195.431, 163.337)|view=(0.23730, 0.13280, 0.36974)
thumb.01.L|world=(-0.29027, 2.58138, -6.76037)|rot=(37.126, 336.561, 285.371)|view=(-0.00508, -0.08348, 0.23963)
thumb.02.L|world=(-0.25296, 2.59099, -6.73627)|rot=(40.536, 312.200, 272.564)|view=(0.10006, -0.00317, 0.26373)
thumb.03.L|world=(-0.22929, 2.59223, -6.70860)|rot=(27.811, 300.548, 269.465)|view=(0.17190, 0.04777, 0.29140)
thumb.03.L_end|world=(-0.21039, 2.59192, -6.67688)|rot=(27.811, 300.548, 269.465)|view=(0.22851, 0.09146, 0.32312)
palm.02.L|world=(-0.32063, 2.59492, -6.75205)|rot=(56.816, 57.306, 37.526)|view=(-0.03919, -0.02343, 0.24795)
f_middle.01.L|world=(-0.30423, 2.62594, -6.68980)|rot=(66.129, 142.463, 116.811)|view=(0.09106, 0.15573, 0.31020)
f_middle.02.L|world=(-0.27879, 2.61576, -6.64126)|rot=(51.193, 172.146, 142.847)|view=(0.17596, 0.18129, 0.35874)
f_middle.03.L|world=(-0.26314, 2.60054, -6.62000)|rot=(33.472, 186.299, 152.568)|view=(0.21126, 0.16943, 0.38000)
f_middle.03.L_end|world=(-0.24867, 2.57960, -6.60767)|rot=(33.472, 186.299, 152.568)|view=(0.23571, 0.14026, 0.39233)
palm.03.L|world=(-0.33491, 2.58696, -6.74772)|rot=(303.332, 242.156, 308.779)|view=(-0.05354, -0.03783, 0.25228)
f_ring.01.L|world=(-0.32784, 2.61162, -6.68081)|rot=(58.073, 136.974, 115.947)|view=(0.07173, 0.13219, 0.31919)
f_ring.02.L|world=(-0.30712, 2.59976, -6.63541)|rot=(46.502, 163.153, 137.485)|view=(0.14875, 0.15386, 0.36459)
